Time - Plot 0,Amplitude - Plot 0
9.1432,0.342663
9.1436,0.342663
9.144,0.342663
9.1444,0.342663
9.1448,0.342663
9.1452,0.342663
9.1456,0.342663
9.146,0.340251
9.1464,0.340251
9.1468,0.340251
9.1472,0.340251
9.1476,0.340251
9.148,0.342663
9.1484,0.342663
9.1488,0.342663
9.1492,0.342663
9.1496,0.340251
9.15,0.342663
9.1504,0.342663
9.1508,0.340251
9.1512,0.340251
9.1516,0.342663
9.152,0.342663
9.1524,0.342663
9.1528,0.345075
9.1532,0.345075
9.1536,0.345075
9.154,0.342663
9.1544,0.342663
9.1548,0.340251
9.1552,0.340251
9.1556,0.337839
9.156,0.340251
9.1564,0.342663
9.1568,0.342663
9.1572,0.340251
9.1576,0.342663
9.158,0.342663
9.1584,0.340251
9.1588,0.342663
9.1592,0.340251
9.1596,0.340251
9.16,0.340251
9.1604,0.340251
9.1608,0.340251
9.1612,0.342663
9.1616,0.342663
9.162,0.342663
9.1624,0.342663
9.1628,0.340251
9.1632,0.342663
9.1636,0.340251
9.164,0.340251
9.1644,0.342663
9.1648,0.337839
9.1652,0.342663
9.1656,0.342663
9.166,0.342663
9.1664,0.342663
9.1668,0.342663
9.1672,0.345075
9.1676,0.342663
9.168,0.340251
9.1684,0.340251
9.1688,0.340251
9.1692,0.340251
9.1696,0.342663
9.17,0.340251
9.1704,0.345075
9.1708,0.345075
9.1712,0.342663
9.1716,0.342663
9.172,0.340251
9.1724,0.340251
9.1728,0.340251
9.1732,0.342663
9.1736,0.340251
9.174,0.342663
9.1744,0.342663
9.1748,0.342663
9.1752,0.342663
9.1756,0.342663
9.176,0.342663
9.1764,0.342663
9.1768,0.340251
9.1772,0.342663
9.1776,0.340251
9.178,0.340251
9.1784,0.340251
9.1788,0.340251
9.1792,0.340251
9.1796,0.342663
9.18,0.342663
9.1804,0.342663
9.1808,0.340251
9.1812,0.342663
9.1816,0.342663
9.182,0.340251
9.1824,0.342663
9.1828,0.337839
9.1832,0.340251
9.1836,0.340251
9.184,0.340251
9.1844,0.342663
9.1848,0.342663
9.1852,0.345075
9.1856,0.342663
9.186,0.342663
9.1864,0.340251
9.1868,0.340251
9.1872,0.340251
9.1876,0.340251
9.188,0.340251
9.1884,0.340251
9.1888,0.340251
9.1892,0.342663
9.1896,0.345075
9.19,0.342663
9.1904,0.342663
9.1908,0.342663
9.1912,0.342663
9.1916,0.340251
9.192,0.340251
9.1924,0.340251
9.1928,0.340251
9.1932,0.342663
9.1936,0.340251
9.194,0.342663
9.1944,0.342663
9.1948,0.342663
9.1952,0.342663
9.1956,0.345075
9.196,0.342663
9.1964,0.342663
9.1968,0.340251
9.1972,0.340251
9.1976,0.340251
9.198,0.340251
9.1984,0.342663
9.1988,0.342663
9.1992,0.342663
9.1996,0.345075
9.2,0.342663
9.2004,0.345075
9.2008,0.340251
9.2012,0.342663
9.2016,0.340251
9.202,0.340251
9.2024,0.340251
9.2028,0.340251
9.2032,0.342663
9.2036,0.342663
9.204,0.342663
9.2044,0.345075
9.2048,0.345075
9.2052,0.342663
9.2056,0.342663
9.206,0.342663
9.2064,0.342663
9.2068,0.342663
9.2072,0.342663
9.2076,0.340251
9.208,0.340251
9.2084,0.340251
9.2088,0.340251
9.2092,0.342663
9.2096,0.342663
9.21,0.345075
9.2104,0.342663
9.2108,0.340251
9.2112,0.340251
9.2116,0.340251
9.212,0.342663
9.2124,0.342663
9.2128,0.342663
9.2132,0.345075
9.2136,0.342663
9.214,0.342663
9.2144,0.340251
9.2148,0.340251
9.2152,0.340251
9.2156,0.340251
9.216,0.340251
9.2164,0.340251
9.2168,0.342663
9.2172,0.342663
9.2176,0.342663
9.218,0.342663
9.2184,0.342663
9.2188,0.342663
9.2192,0.340251
9.2196,0.340251
9.22,0.340251
9.2204,0.340251
9.2208,0.340251
9.2212,0.340251
9.2216,0.340251
9.222,0.340251
9.2224,0.342663
9.2228,0.342663
9.2232,0.342663
9.2236,0.340251
9.224,0.340251
9.2244,0.340251
9.2248,0.340251
9.2252,0.340251
9.2256,0.340251
9.226,0.342663
9.2264,0.345075
9.2268,0.345075
9.2272,0.342663
9.2276,0.340251
9.228,0.340251
9.2284,0.340251
9.2288,0.340251
9.2292,0.342663
9.2296,0.337839
9.23,0.342663
9.2304,0.342663
9.2308,0.345075
9.2312,0.342663
9.2316,0.342663
9.232,0.342663
9.2324,0.340251
9.2328,0.342663
9.2332,0.340251
9.2336,0.340251
9.234,0.340251
9.2344,0.340251
9.2348,0.340251
9.2352,0.340251
9.2356,0.340251
9.236,0.342663
9.2364,0.342663
9.2368,0.342663
9.2372,0.342663
9.2376,0.342663
9.238,0.342663
9.2384,0.340251
9.2388,0.340251
9.2392,0.340251
9.2396,0.340251
9.24,0.340251
9.2404,0.340251
9.2408,0.340251
9.2412,0.342663
9.2416,0.342663
9.242,0.342663
9.2424,0.342663
9.2428,0.345075
9.2432,0.342663
9.2436,0.342663
9.244,0.340251
9.2444,0.337839
9.2448,0.340251
9.2452,0.340251
9.2456,0.340251
9.246,0.340251
9.2464,0.340251
9.2468,0.342663
9.2472,0.342663
9.2476,0.342663
9.248,0.342663
9.2484,0.342663
9.2488,0.342663
9.2492,0.342663
9.2496,0.342663
9.25,0.340251
9.2504,0.340251
9.2508,0.340251
9.2512,0.342663
9.2516,0.342663
9.252,0.342663
9.2524,0.342663
9.2528,0.340251
9.2532,0.340251
9.2536,0.340251
9.254,0.340251
9.2544,0.337839
9.2548,0.340251
9.2552,0.340251
9.2556,0.340251
9.256,0.340251
9.2564,0.340251
9.2568,0.342663
9.2572,0.342663
9.2576,0.342663
9.258,0.342663
9.2584,0.340251
9.2588,0.340251
9.2592,0.340251
9.2596,0.340251
9.26,0.342663
9.2604,0.340251
9.2608,0.342663
9.2612,0.342663
9.2616,0.342663
9.262,0.342663
9.2624,0.342663
9.2628,0.342663
9.2632,0.340251
9.2636,0.340251
9.264,0.340251
9.2644,0.340251
9.2648,0.342663
9.2652,0.340251
9.2656,0.342663
9.266,0.340251
9.2664,0.340251
9.2668,0.340251
9.2672,0.340251
9.2676,0.340251
9.268,0.340251
9.2684,0.340251
9.2688,0.340251
9.2692,0.340251
9.2696,0.342663
9.27,0.342663
9.2704,0.342663
9.2708,0.342663
9.2712,0.340251
9.2716,0.340251
9.272,0.340251
9.2724,0.340251
9.2728,0.342663
9.2732,0.340251
9.2736,0.342663
9.274,0.342663
9.2744,0.342663
9.2748,0.345075
9.2752,0.342663
9.2756,0.342663
9.276,0.342663
9.2764,0.342663
9.2768,0.342663
9.2772,0.340251
9.2776,0.340251
9.278,0.340251
9.2784,0.345075
9.2788,0.342663
9.2792,0.342663
9.2796,0.342663
9.28,0.340251
9.2804,0.340251
